star_name,Simbad_ID,GaiaDR3_ID,distance_pc,ra_combined,dec_combined
Wolf 1225,Wolf 1225,Gaia DR3 1901773448080491392,15.511090429657205,335.8726516821843,32.4583034620584
V* MR Del,HD 195434,Gaia DR3 4245659976227848704,44.5718994140625,307.80746807237955,5.2202899206669375
G  41-14,G  41-14,Gaia DR3 585250252550906624,6.804109682248078,134.73467,8.473907777777779
HD 270712,HD 270712,Gaia DR3 4654969496256092032,21.000499725341797,71.04411298673476,-70.3237255702916
RX J0817.7-8243,RX J0817.7-8243,Gaia DR3 5194528576741489408,26.53829210167351,124.41123926434372,-82.72453613172969
HD 143677,HD 143677,Gaia DR2 5991459247446282880,165.83747927031507,240.93898398005115,-43.93045676057183
HD 119022,HD 119022,Gaia DR2 5850195711494094976,123.15270935960592,205.7858383073601,-69.12771834316395
V* V577 Mon,Ross  614,Gaia DR3 3117120863519565568,4.115803904992429,97.35072947717475,-2.8171882203824805
V* bet Per,* bet Per,Gaia DR2 239863001382455424,27.570995312930794,47.04221833333333,40.95564666666667
V* DG CVn,V* DG CVn,Gaia DR3 1450067137649786752,18.285714285714285,202.94302916298565,29.276190837297328
V* TZ CrB,* sig CrB,Gaia DR3 1328866562170960512,22.649099349975586,243.66878716838013,33.85822643128281
V* V503 Hya,V* V503 Hya,,182.89560318969933,132.33255791666664,5.874885833333334
G 249-36,G 249-36,Gaia DR3 1005873614080407296,16.279698239513433,91.37515254235736,60.819401063972606
HD 132658,HD 132658,Gaia DR3 1181256645104905344,169.947998046875,224.99788755833146,12.023971483595556
V* UX Ari,V* UX Ari,Gaia DR3 118986060277836160,50.54691764896177,51.647398333333335,28.715062777777778
V* V454 Ser,RX J1536.5+1219,Gaia DR3 1190471995655261568,287.34539794921875,234.14342804355925,12.324988773215285
V* V358 Boo,StKM 1-1155,Gaia DR3 1227780314970612864,156.99879455566406,216.4827808139271,14.202674465419276
V* IU Boo,V* IU Boo,Gaia DR3 1259623683539532160,327.6348876953125,214.12864004037203,26.923703100624383
G 166-49,G 166-49,Gaia DR3 1283125607149311360,13.047522992997395,222.79153947058902,31.110378052770027
V* VY Ari,V* VY Ari,Gaia DR3 130173900330982016,41.49325942000722,42.18220291666666,31.115164444444446
V* V1079 Her,V* V1079 Her,Gaia DR3 1302463783295598080,409.2657771957109,245.0571302010139,24.603056641083416
RX J1702.8+4712,RX J1702.8+4712,Gaia DR3 1359944361409091712,355.8212354113293,255.70351674867763,47.2184549502057
BD+46  2361,BD+46  2361,Gaia DR3 1362592672604119168,21.48947875120341,266.3895674912594,46.85550915692615
HD 146696,HD 146696,Gaia DR3 1385525220983694848,87.42880249023438,243.927790976889,44.55230153450269
V* SS Boo,V* SS Boo,Gaia DR3 1388595877786275968,236.0614013671875,228.38528751659612,38.56811715351192
V* UX Com,V* UX Com,Gaia DR3 1463857693521711872,200.12120056152344,195.38727327070032,28.631706269874144
V* BM CVn,V* BM CVn,Gaia DR3 1476446929861764992,115.331298828125,200.38410378725064,38.88035556082892
V* IZ Boo,V* IZ Boo,Gaia DR3 1484942233437321728,36.002174531341694,215.01940028381375,39.050701619509155
FBS 1415+456,FBS 1415+456,Gaia DR3 1505209054532280960,18.991260222045813,214.34237220584717,45.42936021377157
V* alf02 CVn,* alf02 CVn,Gaia DR3 1517698716348324992,30.55982544227707,194.0056156711975,38.31862104268021
ATO J195.9855+48.2551,ATO J195.9855+48.2551,Gaia DR3 1555432443587108096,38.65316898005883,195.9855229375722,48.25508548157826
HD  31381,HD  31381,Gaia DR3 161743593580224512,221.1459784603817,74.21547458333333,33.97714361111111
V* V773 Tau,HD 283447,Gaia DR3 163184366130809984,120.10425048942481,63.553858749999996,28.203433055555553
V* V1023 Tau,V* V1023 Tau,Gaia DR3 164513538249595136,127.39340356956316,64.69595458333333,28.33541472222222
V* V987 Tau,HD 283572,Gaia DR3 164536250037820160,127.00831904489745,65.49520166666666,28.30180888888889
V* UV Equ,ASAS J210707+0632.7,Gaia DR3 1736744247468720256,264.28741455078125,316.77953287653554,6.542216951409636
V* NR Peg,V* NR Peg,Gaia DR3 1760839185799686016,158.84120178222656,317.4665836953068,16.15703911486121
Gaia DR3 1761821839956892160,,Gaia DR3 1761821839956892160,514.650390625,313.2657594194892,14.742333209942766
TYC 1132-530-1,TYC 1132-530-1,Gaia DR3 1770481073843604736,92.75240325927734,324.9239398109133,13.406102850046015
HD 191179,HD 191179,Gaia DR3 1809393688018632704,213.48809814453125,301.99677806229454,16.166098293272913
BD+05   378,BD+05   378,Gaia DR3 18211043587721088,44.29619982901667,40.357867500000005,5.988443333333334
Gaia DR3 1859797431337296384,,Gaia DR3 1859797431337296384,,311.0502263143901,31.451008080255836
V* V1396 Cyg,BD+40   883,Gaia DR3 1873073175244118784,14.968805010358414,315.02594408686326,40.069067417758205
V* V374 Peg,V* V374 Peg,Gaia DR3 1893189736896880640,9.102924951845527,330.306566078579,28.30710892040449
V* KX Peg,V* KX Peg,Gaia DR3 1894725956507457792,118.16000366210938,335.6354354643504,30.357428327232903
Wolf 1225 A,Wolf 1225 A,Gaia DR3 1901773448080491392,15.23305817352586,335.8726516821843,32.4583034620584
Wolf 1225 B,Wolf 1225 B,Gaia DR3 1901773452377248512,15.294939975008067,335.87225544810565,32.45820740596688
V* EV Lac,V* EV Lac,Gaia DR3 1934263333784036736,5.051594460017387,341.7028254522359,44.3319533233193
V* lam And,* lam And,Gaia DR3 1939115478598580352,25.924466474479956,354.39204130799976,46.456276552702825
V* AR Lac,V* AR Lac,Gaia DR3 1962909425622345728,42.86439895629883,332.16974273562016,45.74246076572013
V* HK Lac,V* HK Lac,Gaia DR3 1975290167073179904,143.70913271538407,331.2362582743688,47.234713453894415
V* V478 Lyr,V* V478 Lyr,Gaia DR3 2042389925739687808,27.037700653076172,286.88551501549904,30.25495170578353
EM* AS  431,EM* AS  431,Gaia DR3 2064671253991921408,1994.4156362185881,309.1817928817363,40.352041891603534
Schulte  9,Schulte  9,Gaia DR3 2067783623515353728,1917.9133103183738,308.2947182011725,41.25226316212749
MR 112,MR 112,Gaia DR3 2067867358199590400,1198.3223487118034,308.9461734598288,41.379063943276414
V* V1687 Cyg,HD 193793,Gaia DR3 2081261372633822592,1859.4272963927112,305.1165394492402,43.854515794667826
HD 192785,HD 192785,Gaia DR3 2081589817375031424,233.02870178222656,303.7044516373769,45.02852629624931
LSR J1835+3259,LSR J1835+3259,Gaia DR3 2091177593123254016,5.688508643688884,278.90744884954285,32.994787158699616
HD 181068,HD 181068,Gaia DR3 2101454419072479488,225.99859619140625,289.2874192155173,41.264772331425995
PM J05187+4629,PM J05187+4629,Gaia DR3 211890772739146112,47.85215597888763,79.68565208333332,46.499885
V* V1794 Cyg,HD 199178,Gaia DR3 2162964329341318656,112.05690002441406,313.4737146808538,44.386407242782255
V* V376 Cep,V* V376 Cep,Gaia DR3 2299477768899190400,40.05229949951172,329.5772953769142,82.87090202192456
BPM 46714,BPM 46714,Gaia DR3 2342601748810281088,101.63860321044922,13.189171233433843,-27.475769488931373
HD   4967B,HD   4967B,Gaia DR3 2349206343359507584,15.367285814612137,12.899607379310654,-22.90983482076865
HD 220096,HD 220096,Gaia DR3 2378896524563606144,101.40033867713117,350.314487065015,-26.9868190860127
V* FK Aqr,V* FK Aqr,Gaia DR3 2400808142038361088,8.879199981689453,339.6920274130413,-20.62148673061316
