Name,RA,DEC,Dist,frequency
V* sig Gem,115.82803166666666,28.88350861111111,36.871796762656246,144.0
V* sig Gem,115.82803166666666,28.88350861111111,36.871796762656246,144.0
V* DG CVn,202.94302916298565,29.276190837297328,18.285714285714285,144.0
V* TZ CrB,243.6687871683801,33.85822643128281,22.649099349975582,144.0
HD 220242,350.49227182385454,26.608571830224967,69.72579956054688,144.0
HD 220242,350.49227182385454,26.608571830224967,69.72579956054688,144.0
V* II Peg,358.76979425420905,28.633832306526543,39.12439601713648,144.0
V* EZ Peg,349.2219329109453,25.71953342461029,161.4261932373047,144.0
V* OU And,357.4206611293978,36.42506931220349,140.22959899902344,144.0
G 223-74,219.225999031326,58.34545498649245,18.38640022277832,144.0
V* EV Dra,240.44716923106927,51.34791584045463,57.48780059814453,144.0
V* CR Dra,244.27298578329305,55.2671877781025,20.14898156972656,144.0
2MASS J14333139+3417472,218.3803774521228,34.29633241611881,47.485599517822266,144.0
V* BH CVn,203.6996807618988,37.182371955123614,46.88826058619704,144.0
V* FK Com,202.6947440950184,24.232619556370345,221.1938018798828,144.0
BD+33  4462,333.61810634729017,33.94162844840278,208.6549072265625,144.0
2MASS J09481615+5114518,147.06725,51.24773555555556,35.971869997661834,144.0
2MASS J10534129+5253040,163.42203791666665,52.88446888888889,45.08261388995334,144.0
G 223-74,219.225999031326,58.34545498649245,18.38640022277832,144.0
V* EQ Peg A,352.97012375450475,19.93699282660293,6.263176156839952,144.0
[VCS2020] BDR J1750+3809,267.5047083333333,38.15541666666667,,144.0
G 123-35,187.2610461646017,41.72942423929911,23.50933202934905,144.0
V* V1246 Her,256.9914650259048,29.320968767354625,300.3175964355469,144.0
V* FF UMa,143.44375134264385,62.8277504156821,114.51380157470705,144.0
V* alf02 CVn,194.0056156711975,38.31862104268021,30.55982544227707,144.0
V* FG UMa,155.44706554485882,60.91274939064989,194.0791015625,144.0
TYC 2834-1385-1,34.60847624999999,40.56855361111111,142.10601108426886,144.0
ATO J195.9855+48.2551,195.9855229375722,48.25508548157826,38.65316898005883,144.0
V* WW Dra,249.7667853497691,60.69939827230275,154.3257507947776,144.0
BD+46  2361,266.3895674912594,46.85550915692615,21.48947875120341,144.0
V* DM UMa,163.93143249999997,60.469366944444445,185.6596487319446,144.0
V* FI Cnc,128.07225291666666,29.319310833333333,206.67989417989415,144.0
BD+42  2437,206.5062436061709,42.01880266367085,229.3104634364466,144.0
V* WX UMa,166.3786895833333,43.521634722222224,4.905993799805036,144.0
V* CW UMa,167.96558625,33.5364525,13.35400533358973,144.0
LSPM J1024+3902E,156.0568008333333,39.042609166666665,17.90045556659417,144.0
G 122-49,177.74050208333333,48.37737805555555,8.042606512259345,144.0
LP  212-62,155.9660870833333,43.89253472222222,18.19025184403678,144.0
V* YY Gem,113.65603083333332,31.869494166666662,15.080454223281205,144.0
V* BL Lyn,112.98884624999998,36.229821388888894,11.990407673860911,144.0
BD+36  2219,177.77908194992455,35.273139643103185,8.756999969482422,144.0
PM J10581+5057,164.53132875,50.95079833333334,27.67239208458897,144.0
LP   93-440,168.42000375,60.71637944444445,42.2168935121078,144.0
V* V374 Peg,330.306566078579,28.30710892040449,9.102924951845528,144.0
V* BF Lyn,140.60809791666665,40.201056388888894,23.436273257571678,144.0
V* BF Lyn,140.60809791666665,40.201056388888894,23.436273257571678,144.0
LP  169-22,169.87754291666664,46.695315,10.46877061039214,144.0
G 122-49,177.74050208333333,48.37737805555555,8.042606512259345,144.0
LP  259-39,135.92408208333333,34.80614444444444,36.90785952868664,144.0
V* i Boo,225.947065,47.65406166666666,12.507817385866169,144.0
BD+36  2219,177.77908194992455,35.273139643103185,8.756999969482422,144.0
V* V835 Her,268.85208825690773,36.18878231603982,31.291200637817383,144.0
Wolf 1225,335.8726516821843,32.4583034620584,15.511090429657203,144.0
V* NR Peg,317.4665836953068,16.15703911486121,158.84120178222656,842.5
2MASS J19243494-3442392,291.1457820661295,-34.71127088024054,51.5466574569972,842.5
G 272-61,24.75605375,-17.950568055555554,2.6666666666666665,842.5
V* UV Cet,24.771674208211856,-17.947682860008488,2.6749103838148662,842.5
* iot01 Nor C,240.8776281316772,-57.77683449327936,40.99459838867188,842.5
2MASS J07420784-6243554,115.53272510312564,-62.7317368650973,26.01919937133789,842.5
V* AE Men,96.41777815349585,-72.04306689718257,293.2379332590464,842.5
CD-63  1238,254.1368694716175,-63.883970479244354,204.62869262695312,842.5
CD-63  1238,254.1368694716175,-63.883970479244354,204.62869262695312,842.5
V* V927 Sco,238.6646419613549,-25.24384806461708,147.2675018310547,842.5
V* V1040 Sco,238.48270056966044,-23.97820254162301,145.19769287109375,842.5
HD 182928,292.1333096784772,-35.13307987885469,196.1063995361328,842.5
HD 159911,264.4435653798342,-13.246837610534447,33.23699951171875,842.5
V* BL Cet,24.771554293454543,-17.948299887129313,2.719520363632507,842.5
CD-38 14209,311.5050680044522,-37.62572470467446,670.8565063476562,842.5
TYC 5662-317-1,262.11559210731315,-10.6080395590828,226.07899475097656,842.5
V* AY Cet,19.15075342521739,-2.5006521246476354,74.83797578243104,855.5
